id	area	period	mean	ratio	positive
Vila_Pinho	Control	1	7.997	0.7616	0
Jardim_Felicidade	Control	1	5.35	0.7643	0
Savassi	Control	1	0.31	0.775	0
Estrela_Oriente	Control	1	2.108	0.7807	0
Renascenca	Control	1	5.023	0.7848	0
Europa	Control	1	4.964	0.7879	0
Taquaril	Control	1	20.382	0.7962	0
Ernesto_Nascimento	Control	1	2.008	0.8032	0
Gloria	Control	1	7.598	0.8083	0
Sta_Cecilia	Control	1	7.674	0.8164	0
Urca	Control	1	7.877	0.8205	0
Ribeiro_Abreu	Control	1	10.296	0.8237	0
Parque_S_Jose	Control	1	1.404	0.8259	0
Goiania	Control	1	4.916	0.8332	0
Etelvina_Carneiro	Control	1	4.631	0.842	0
Pindorama	Control	1	5.904	0.8557	0
Leonina	Control	1	2.596	0.8653	0
Parque_S_Pedro	Control	1	7.432	0.8954	0
Saudade	Control	1	5.084	0.9079	0
Aguas_Claras	Control	1	8.283	0.9081	0
Confisco	Control	1	9.117	0.9117	0
D_Silverio	Control	1	6.458	0.9226	0
Vila_Novo_S_Lucas	Control	1	1.95	0.9286	0
Nova_Gameleira	Control	1	3.198	0.9406	0
Esperanca	Control	1	4.048	0.9414	0
S_Salvador	Control	1	7.165	0.9428	0
Jardim_Leblon	Control	1	10.625	0.9487	0
Itaipu	Control	1	8.792	0.9557	0
Camargos	Control	1	2.594	0.9607	0
Vila_Maria	Control	1	5.308	0.9651	0
Sta_Cruz	Control	1	4.908	0.9775	0
Juliana	Control	1	6.484	0.9887	0
Paraiso	Control	1	5.371	0.9954	0
Universitario	Control	1	10.907	0.9992	0
Vila_Vista_Alegre	Control	1	1.9062	0.9995	0
Tupi_B	Control	1	2.543	1.0384	1
Jonas_Veiga	Control	1	5.4	1.0385	1
Jardim_Vitoria	Control	1	12.632	1.044	1
Conj_Taquaril	Control	1	3.04	1.0483	1
Sta_Maria	Control	1	5.394	1.0576	1
Conj_Cap_Eduardo	Control	1	8.252	1.0579	1
Vista_Alegre	Control	1	7.748	1.0614	1
Lagoa	Control	1	6.773	1.0633	1
Serra_Verde	Control	1	4.488	1.0686	1
S_Gabriel	Control	1	7.951	1.1043	1
Nova_Cintra	Control	1	8.861	1.136	1
Venda_Nova	Control	1	11.563	1.1449	1
Madre_Gertrudes	Control	1	4.053	1.158	1
Jardim_Comerciarios	Control	1	4.579	1.1741	1
Ceu_Azul	Control	1	5.647	1.1765	1
Copacabana	Control	1	3.191	1.1819	1
Leticia	Control	1	5.17	1.2023	1
Coqueiros	Control	1	9.536	1.2071	1
Maria_Virginia	Control	1	3.038	1.2152	1
Flavio_Oliveira	Control	1	1.468	1.2233	1
Frei_Leopoldo	Control	1	2.325	1.2237	1
Piratininga	Control	1	3.413	1.2641	1
Atila_P_cluster	Control	1	2.818	1.2809	1
Novo_Gloria	Control	1	3.864	1.288	1
Ouro_Minas	Control	1	10.358	1.2948	1
S_Paulo	Control	1	15.74	1.3117	1
Apolonia	Control	1	0.796	1.3267	1
Alpes	Control	1	4.538	1.3347	1
Conj_Minas_Caixa	Control	1	3.644	1.3496	1
Sta_Monica	Control	1	4.873	1.3536	1
Vitoria	Control	1	6.833	1.3666	1
Rio_Branco	Control	1	5.957	1.4183	1
Candelaria	Control	1	4.962	1.4594	1
Sta_Sofia	Control	1	3.578	1.4908	1
Mariquinhas	Control	1	3.171	1.6689	1
Cabana_P_Tomas	Control	1	4.767	1.7025	1
Lagoinha_Leblon	Control	1	3.387	1.7826	1
Aarao_Reis	Control	1	27.134	2.2241	1
Maria_Helena	Control	1	3.501	2.334	1
S_Joao_Batista	Control	1	7.679	2.4771	1
Granja_Werneck	Control	1	6.934	2.8892	1
